(Sample number1)  iteration number: 512, Error = 0.00919637
(Sample number2)  iteration number: 512, Error = 0.00692736
(Sample number3)  iteration number: 512, Error = 0.0060328
(Sample number4)  iteration number: 512, Error = 0.00764491
(Sample number5)  iteration number: 512, Error = 0.00576059
(Sample number6)  iteration number: 512, Error = 0.00416723
(Sample number7)  iteration number: 512, Error = 0.00527041
(Sample number8)  iteration number: 512, Error = 0.00445471
(Sample number9)  iteration number: 512, Error = 0.00467719
(Sample number10)  iteration number: 512, Error = 0.00434904
(Sample number11)  iteration number: 512, Error = 0.00427446
(Sample number12)  iteration number: 512, Error = 0.00573159
(Sample number13)  iteration number: 512, Error = 0.0031509
(Sample number14)  iteration number: 512, Error = 0.00434129
(Sample number15)  iteration number: 512, Error = 0.00442557
(Sample number16)  iteration number: 512, Error = 0.00627096
(Sample number17)  iteration number: 512, Error = 0.00524556
(Sample number18)  iteration number: 512, Error = 0.0055471
(Sample number19)  iteration number: 512, Error = 0.00511053
(Sample number20)  iteration number: 512, Error = 0.00566095
(Sample number21)  iteration number: 512, Error = 0.00428186
(Sample number22)  iteration number: 512, Error = 0.00490876
(Sample number23)  iteration number: 512, Error = 0.0056919
(Sample number24)  iteration number: 512, Error = 0.00547225
(Sample number25)  iteration number: 512, Error = 0.00346364
(Sample number26)  iteration number: 512, Error = 0.00434925
(Sample number27)  iteration number: 512, Error = 0.00521596
(Sample number28)  iteration number: 512, Error = 0.00358729
(Sample number29)  iteration number: 512, Error = 0.00431119
(Sample number30)  iteration number: 512, Error = 0.00575091
(Sample number31)  iteration number: 512, Error = 0.00349685
(Sample number32)  iteration number: 512, Error = 0.00469587
(Sample number33)  iteration number: 512, Error = 0.00468582
(Sample number34)  iteration number: 512, Error = 0.00468916
(Sample number35)  iteration number: 512, Error = 0.00439043
(Sample number36)  iteration number: 512, Error = 0.00635194
(Sample number37)  iteration number: 512, Error = 0.00344556
(Sample number38)  iteration number: 512, Error = 0.00365022
(Sample number39)  iteration number: 512, Error = 0.00655262
(Sample number40)  iteration number: 512, Error = 0.00360618
(Sample number41)  iteration number: 512, Error = 0.00590657
(Sample number42)  iteration number: 512, Error = 0.00470782
(Sample number43)  iteration number: 512, Error = 0.00534239
(Sample number44)  iteration number: 512, Error = 0.00546764
(Sample number45)  iteration number: 512, Error = 0.00533118
(Sample number46)  iteration number: 512, Error = 0.00290804
(Sample number47)  iteration number: 512, Error = 0.0053047
(Sample number48)  iteration number: 512, Error = 0.00368271
(Sample number49)  iteration number: 512, Error = 0.00363475
(Sample number50)  iteration number: 512, Error = 0.00362224
(Sample number51)  iteration number: 512, Error = 0.00326363
(Sample number52)  iteration number: 512, Error = 0.00352205
(Sample number53)  iteration number: 512, Error = 0.00425605
(Sample number54)  iteration number: 512, Error = 0.00658005
(Sample number55)  iteration number: 512, Error = 0.00456593
(Sample number56)  iteration number: 512, Error = 0.00455139
(Sample number57)  iteration number: 512, Error = 0.00379088
(Sample number58)  iteration number: 512, Error = 0.00386053
(Sample number59)  iteration number: 512, Error = 0.0038642
(Sample number60)  iteration number: 512, Error = 0.00574223
(Sample number61)  iteration number: 512, Error = 0.00296043
(Sample number62)  iteration number: 512, Error = 0.00329305
(Sample number63)  iteration number: 512, Error = 0.00256029
(Sample number64)  iteration number: 512, Error = 0.0030795
(Sample number65)  iteration number: 512, Error = 0.00305552
(Sample number66)  iteration number: 512, Error = 0.00442396
(Sample number67)  iteration number: 512, Error = 0.00368914
(Sample number68)  iteration number: 512, Error = 0.00327422
(Sample number69)  iteration number: 512, Error = 0.00608821
(Sample number70)  iteration number: 512, Error = 0.00172934
(Sample number71)  iteration number: 512, Error = 0.00265706
(Sample number72)  iteration number: 512, Error = 0.00494627
(Sample number73)  iteration number: 512, Error = 0.00232756
(Sample number74)  iteration number: 512, Error = 0.00359931
(Sample number75)  iteration number: 512, Error = 0.00348062
(Sample number76)  iteration number: 512, Error = 0.00289826
(Sample number77)  iteration number: 512, Error = 0.00635327
(Sample number78)  iteration number: 512, Error = 0.00380947
(Sample number79)  iteration number: 512, Error = 0.00300566
(Sample number80)  iteration number: 512, Error = 0.00320838
(Sample number81)  iteration number: 512, Error = 0.502444
(Sample number82)  iteration number: 512, Error = 0.0020735
(Sample number83)  iteration number: 512, Error = 0.00301136
(Sample number84)  iteration number: 512, Error = 0.00341773
(Sample number85)  iteration number: 512, Error = 0.00398557
(Sample number86)  iteration number: 512, Error = 0.00515983
(Sample number87)  iteration number: 512, Error = 0.00308145
(Sample number88)  iteration number: 512, Error = 0.00510287
(Sample number89)  iteration number: 512, Error = 0.00401342
(Sample number90)  iteration number: 512, Error = 0.00440978
(Sample number91)  iteration number: 512, Error = 0.00315963
(Sample number92)  iteration number: 512, Error = 0.00366597
(Sample number93)  iteration number: 512, Error = 0.00478416
(Sample number94)  iteration number: 512, Error = 0.00234015
(Sample number95)  iteration number: 512, Error = 0.00397644
(Sample number96)  iteration number: 512, Error = 0.00393981
(Sample number97)  iteration number: 512, Error = 0.00436155
(Sample number98)  iteration number: 512, Error = 0.00315483
(Sample number99)  iteration number: 512, Error = 0.00316608
(Sample number100)  iteration number: 512, Error = 0.00476315
(Sample number101)  iteration number: 512, Error = 0.474193
(Sample number102)  iteration number: 512, Error = 0.00305562
(Sample number103)  iteration number: 512, Error = 0.00220189
(Sample number104)  iteration number: 512, Error = 0.00169276
(Sample number105)  iteration number: 512, Error = 0.00215405
(Sample number106)  iteration number: 512, Error = 0.0013341
(Sample number107)  iteration number: 512, Error = 0.00261937
(Sample number108)  iteration number: 512, Error = 0.00256535
(Sample number109)  iteration number: 512, Error = 0.00379442
