(Sample number1)  iteration number: 512, Error = 0.0119933
(Sample number2)  iteration number: 512, Error = 0.00887803
(Sample number3)  iteration number: 512, Error = 0.00729571
(Sample number4)  iteration number: 512, Error = 0.00726282
(Sample number5)  iteration number: 512, Error = 0.00582456
(Sample number6)  iteration number: 512, Error = 0.005674
(Sample number7)  iteration number: 512, Error = 0.0054998
(Sample number8)  iteration number: 512, Error = 0.00552936
(Sample number9)  iteration number: 512, Error = 0.00477071
(Sample number10)  iteration number: 512, Error = 0.00542097
(Sample number11)  iteration number: 512, Error = 0.00456044
(Sample number12)  iteration number: 512, Error = 0.0062035
(Sample number13)  iteration number: 512, Error = 0.00370276
(Sample number14)  iteration number: 512, Error = 0.0057604
(Sample number15)  iteration number: 512, Error = 0.00535439
(Sample number16)  iteration number: 512, Error = 0.00612977
(Sample number17)  iteration number: 512, Error = 0.00581344
(Sample number18)  iteration number: 512, Error = 0.00726612
(Sample number19)  iteration number: 512, Error = 0.00582317
(Sample number20)  iteration number: 512, Error = 0.00653991
(Sample number21)  iteration number: 512, Error = 0.00550719
(Sample number22)  iteration number: 512, Error = 0.00684451
(Sample number23)  iteration number: 512, Error = 0.00495309
(Sample number24)  iteration number: 512, Error = 0.00618584
(Sample number25)  iteration number: 512, Error = 0.00324494
(Sample number26)  iteration number: 512, Error = 0.00531437
(Sample number27)  iteration number: 512, Error = 0.00419302
(Sample number28)  iteration number: 512, Error = 0.00479646
(Sample number29)  iteration number: 512, Error = 0.00551311
(Sample number30)  iteration number: 512, Error = 0.00731592
(Sample number31)  iteration number: 512, Error = 0.00482188
(Sample number32)  iteration number: 512, Error = 0.00676048
(Sample number33)  iteration number: 512, Error = 0.00713326
(Sample number34)  iteration number: 512, Error = 0.00683628
(Sample number35)  iteration number: 512, Error = 0.0065822
(Sample number36)  iteration number: 512, Error = 0.00633752
(Sample number37)  iteration number: 512, Error = 0.00501126
(Sample number38)  iteration number: 512, Error = 0.00483004
(Sample number39)  iteration number: 512, Error = 0.00596058
(Sample number40)  iteration number: 512, Error = 0.00468912
(Sample number41)  iteration number: 512, Error = 0.00646058
(Sample number42)  iteration number: 512, Error = 0.00693714
(Sample number43)  iteration number: 512, Error = 0.00498181
(Sample number44)  iteration number: 512, Error = 0.00587399
(Sample number45)  iteration number: 512, Error = 0.00576702
(Sample number46)  iteration number: 512, Error = 0.00471265
(Sample number47)  iteration number: 512, Error = 0.00519643
(Sample number48)  iteration number: 512, Error = 0.0074684
(Sample number49)  iteration number: 512, Error = 0.0058995
(Sample number50)  iteration number: 512, Error = 0.00520622
(Sample number51)  iteration number: 512, Error = 0.00333699
(Sample number52)  iteration number: 512, Error = 0.00523781
(Sample number53)  iteration number: 512, Error = 0.00629859
(Sample number54)  iteration number: 512, Error = 0.00639407
(Sample number55)  iteration number: 512, Error = 0.004853
(Sample number56)  iteration number: 512, Error = 0.00548298
(Sample number57)  iteration number: 512, Error = 0.00427634
(Sample number58)  iteration number: 512, Error = 0.00517154
(Sample number59)  iteration number: 512, Error = 0.00492847
(Sample number60)  iteration number: 512, Error = 0.00723426
(Sample number61)  iteration number: 512, Error = 0.00416249
(Sample number62)  iteration number: 512, Error = 0.0031997
(Sample number63)  iteration number: 512, Error = 0.00466431
(Sample number64)  iteration number: 512, Error = 0.00371338
(Sample number65)  iteration number: 512, Error = 0.00421154
(Sample number66)  iteration number: 512, Error = 0.00617874
(Sample number67)  iteration number: 512, Error = 0.0049839
(Sample number68)  iteration number: 512, Error = 0.00460377
(Sample number69)  iteration number: 512, Error = 0.00506858
(Sample number70)  iteration number: 512, Error = 0.0023953
(Sample number71)  iteration number: 512, Error = 0.00325377
(Sample number72)  iteration number: 512, Error = 0.00549401
(Sample number73)  iteration number: 512, Error = 0.00400007
(Sample number74)  iteration number: 512, Error = 0.00440116
(Sample number75)  iteration number: 512, Error = 0.00464186
(Sample number76)  iteration number: 512, Error = 0.00480685
(Sample number77)  iteration number: 512, Error = 0.00946913
(Sample number78)  iteration number: 512, Error = 0.00422787
(Sample number79)  iteration number: 512, Error = 0.00277581
(Sample number80)  iteration number: 512, Error = 0.00453232
(Sample number81)  iteration number: 512, Error = 0.502857
(Sample number82)  iteration number: 512, Error = 0.00297496
(Sample number83)  iteration number: 512, Error = 0.00473116
(Sample number84)  iteration number: 512, Error = 0.00417259
(Sample number85)  iteration number: 512, Error = 0.00347988
(Sample number86)  iteration number: 512, Error = 0.00784065
(Sample number87)  iteration number: 512, Error = 0.00558803
(Sample number88)  iteration number: 512, Error = 0.00623624
(Sample number89)  iteration number: 512, Error = 0.00551695
(Sample number90)  iteration number: 512, Error = 0.0068446
(Sample number91)  iteration number: 512, Error = 0.00404934
(Sample number92)  iteration number: 512, Error = 0.00425689
(Sample number93)  iteration number: 512, Error = 0.00532513
(Sample number94)  iteration number: 512, Error = 0.0036256
(Sample number95)  iteration number: 512, Error = 0.00495476
(Sample number96)  iteration number: 512, Error = 0.00481411
(Sample number97)  iteration number: 512, Error = 0.00479209
(Sample number98)  iteration number: 512, Error = 0.00334218
(Sample number99)  iteration number: 512, Error = 0.00328763
(Sample number100)  iteration number: 512, Error = 0.00477409
(Sample number101)  iteration number: 512, Error = 0.27215
(Sample number102)  iteration number: 512, Error = 0.00475156
(Sample number103)  iteration number: 512, Error = 0.00395746
(Sample number104)  iteration number: 512, Error = 0.00290868
(Sample number105)  iteration number: 512, Error = 0.00299521
(Sample number106)  iteration number: 512, Error = 0.00218203
(Sample number107)  iteration number: 512, Error = 0.00291162
(Sample number108)  iteration number: 512, Error = 0.00438039
